Order_ID,Customer_Name,Category,Product,Region,Order_Date,Quantity,Price,Discount_%,Sales,Profit
ORD00031,Charlene Fowler,Sports,Football,South,2025-03-04,1,287,10,287,64.36
ORD00032,Connor West,Home & Kitchen,Mixer,West,2024-08-06,2,231,10,462,102.9
ORD00033,Joseph Hale,Beauty,Face Wash,West,2024-02-26,2,722,5,1444,285.99
ORD00034,David Leon,Beauty,Moisturizer,East,2025-01-30,4,578,0,2312,242.4
ORD00035,Jennifer Maldonado,Fashion,Shoes,North,2024-02-06,2,218,10,436,43.81
ORD00036,Jon Howard,Beauty,Lipstick,East,2024-09-29,1,986,20,986,125.61
ORD00037,Mrs. Jamie Davenport MD,Electronics,Laptop,East,2024-11-17,5,617,10,3085,821.17
ORD00038,Sergio Peters,Fashion,Jeans,West,2024-05-14,5,707,20,3535,402.47
ORD00039,Jacob Collins,Beauty,Lipstick,South,2024-10-31,3,646,0,1938,350.46
ORD00040,Melissa Beltran,Electronics,Laptop,North,2025-03-31,2,982,10,1964,490.59
ORD00041,Kurt Massey,Home & Kitchen,Chair,North,2024-03-30,2,723,10,1446,304.05
ORD00042,Kenneth Bernard,Sports,Football,West,2025-02-01,2,839,15,1678,148.63
ORD00043,Jessica Hicks,Fashion,T-Shirt,East,2024-07-16,4,529,20,2116,543.74
ORD00044,John Rodgers,Home & Kitchen,Chair,West,2025-03-28,3,810,20,2430,194.7
ORD00045,Tyler Williamson,Sports,Yoga Mat,South,2024-04-09,2,266,0,532,108.77
ORD00046,Shawn Miller,Sports,Dumbbells,North,2025-01-17,2,865,0,1730,254.78
ORD00047,Dr. Derek Duncan,Electronics,Smartwatch,South,2024-05-03,2,449,0,898,118.56
ORD00048,Betty Bates,Beauty,Face Wash,East,2024-12-01,5,925,0,4625,1026.24
ORD00049,Tiffany Mason,Beauty,Face Wash,South,2025-02-14,5,923,5,4615,835.29
ORD00050,Kevin Moran,Electronics,Headphones,East,2024-01-18,5,206,5,1030,271.33
ORD00051,Tammy Henry,Electronics,Headphones,South,2024-10-06,2,870,20,1740,422.74
ORD00052,Heather Li,Sports,Yoga Mat,East,2024-04-20,4,481,15,1924,468.97
ORD00053,Sherry Rocha,Home & Kitchen,Table Lamp,South,2024-04-08,1,99,5,99,14.73
ORD00054,Ethan Hamilton,Electronics,Headphones,South,2024-10-31,4,517,20,2068,413.46
ORD00055,Patrick Crawford,Home & Kitchen,Table Lamp,West,2025-01-25,5,465,10,2325,567.19
ORD00056,William Gonzales,Electronics,Smartwatch,South,2024-09-06,2,476,15,952,81.89
ORD00057,David Lewis,Fashion,Shoes,South,2025-04-13,1,986,15,986,76.4
ORD00058,Zoe Smith,Home & Kitchen,Mixer,West,2024-03-10,4,931,0,3724,480.71
ORD00059,Brenda Davis,Home & Kitchen,Table Lamp,West,2024-12-28,3,655,0,1965,181.63
ORD00060,Martha Colon,Sports,Yoga Mat,West,2024-06-24,1,829,0,829,80.29
ORD00061,Danny Harper,Sports,Cricket Bat,West,2024-01-30,3,294,20,882,165.29
ORD00062,Misty Kennedy,Electronics,Smartwatch,West,2024-12-25,2,156,0,312,90.44
ORD00063,Gary Smith,Fashion,Jacket,South,2025-02-23,5,937,15,4685,398.18
ORD00064,Robert Curtis,Electronics,Smartwatch,South,2024-12-11,1,492,20,492,67.65
ORD00065,Benjamin Miller,Electronics,Smartphone,North,2025-02-23,2,987,10,1974,388.37
ORD00066,Teresa Francis,Fashion,Jacket,South,2024-05-16,5,475,20,2375,680.29
ORD00067,Justin Miller,Sports,Yoga Mat,North,2024-07-04,3,278,20,834,147.68
ORD00068,Brent Zuniga,Fashion,T-Shirt,West,2024-09-01,3,245,5,735,129.93
ORD00069,Ian Nelson,Sports,Dumbbells,East,2024-12-25,5,880,10,4400,634.45
ORD00070,Kevin Martinez,Home & Kitchen,Cookware,West,2025-02-22,2,160,5,320,57.46
ORD00071,George Banks,Electronics,Smartwatch,East,2024-06-25,2,600,5,1200,306.85
ORD00072,Sean Lee,Electronics,Smartphone,North,2024-01-04,4,127,5,508,65.5
ORD00073,Joe Martin,Home & Kitchen,Cookware,North,2025-02-09,5,847,10,4235,605.69
ORD00074,Aaron Rodriguez,Home & Kitchen,Chair,North,2024-01-23,1,615,10,615,128.06
ORD00075,Rebecca Francis,Home & Kitchen,Table Lamp,West,2025-03-07,5,937,5,4685,1052.9
ORD00076,Leslie Williams,Home & Kitchen,Table Lamp,West,2025-04-20,1,832,10,832,71.19
ORD00077,Trevor Oliver,Electronics,Headphones,North,2025-01-08,4,238,10,952,224.04
ORD00078,Philip Crane,Home & Kitchen,Table Lamp,South,2024-05-03,2,951,5,1902,283.67
ORD00079,Joan Garcia,Sports,Yoga Mat,South,2025-04-15,5,513,10,2565,363.99
ORD00080,Pamela Smith,Sports,Dumbbells,West,2024-09-02,2,175,20,350,40.18
ORD00081,Lauren Gordon,Electronics,Headphones,North,2024-01-11,3,373,5,1119,189.53
ORD00082,Corey Weber,Sports,Cricket Bat,West,2025-03-21,2,373,20,746,37.61
ORD00083,Gregory Kelly,Beauty,Perfume,East,2024-01-04,2,883,10,1766,188.94
ORD00084,Patrick Wright,Sports,Football,West,2025-04-02,2,200,5,400,42.43
ORD00085,Michelle Blair DDS,Fashion,Jacket,West,2024-11-06,5,778,0,3890,211.09
ORD00086,Courtney Jones,Beauty,Lipstick,North,2025-02-23,4,370,5,1480,227.31
ORD00087,Logan Castro,Fashion,Shoes,South,2024-09-16,1,273,15,273,55.48
ORD00088,Kristina Pearson,Beauty,Perfume,West,2024-04-21,3,459,15,1377,239.68
ORD00089,Mary Jefferson,Sports,Dumbbells,South,2024-09-30,2,821,10,1642,241.07
ORD00090,Danielle Tate,Home & Kitchen,Mixer,West,2025-02-28,1,511,20,511,39.21
ORD00091,Melissa Petersen,Home & Kitchen,Chair,East,2024-12-29,2,826,0,1652,83.71
ORD00092,David Chase,Sports,Dumbbells,South,2024-08-13,4,465,5,1860,155.97
ORD00093,Darren Russell,Beauty,Lipstick,North,2024-02-23,3,301,20,903,205.09
ORD00094,Jennifer Hernandez,Home & Kitchen,Mixer,North,2024-01-17,4,59,10,236,64.64
ORD00095,Melissa Phillips,Sports,Yoga Mat,East,2024-07-06,5,768,10,3840,1098.54
ORD00096,Amanda Gilbert,Fashion,Jeans,North,2024-05-20,4,548,10,2192,405.33
ORD00097,Gabriella Miller,Home & Kitchen,Mixer,North,2024-12-07,1,223,15,223,48.87
ORD00098,Madison Anderson,Beauty,Perfume,East,2024-03-27,3,133,10,399,103.71
ORD00099,Kimberly Mendoza,Home & Kitchen,Cookware,West,2024-01-20,4,924,15,3696,1064.95
ORD00100,Sarah Mcdonald,Sports,Yoga Mat,North,2024-04-12,4,170,5,680,194.8
ORD00101,Mark Dalton,Sports,Football,West,2024-07-23,3,361,5,1083,179.09
ORD00102,Joel Wright,Sports,Dumbbells,West,2024-05-08,1,875,5,875,107.46
ORD00103,Corey Johnson,Sports,Football,North,2024-03-16,3,144,0,432,89.46
ORD00104,Michael Brown,Beauty,Moisturizer,South,2024-03-30,3,324,20,972,65.91
ORD00105,Tonya Wilson,Fashion,T-Shirt,West,2024-04-15,1,454,0,454,32.18
ORD00106,Christopher Perkins,Sports,Yoga Mat,South,2024-05-20,5,304,5,1520,349.75
ORD00107,Annette Barton,Home & Kitchen,Cookware,South,2024-04-09,1,482,5,482,65.81
ORD00108,Carol Rogers,Beauty,Lipstick,North,2024-12-14,5,22,5,110,18.7
ORD00109,Dana Williams,Beauty,Moisturizer,West,2025-03-07,2,862,10,1724,399.5
ORD00110,Tracey Wallace,Beauty,Face Wash,North,2024-08-12,4,495,10,1980,576.92
ORD00111,Meghan Garcia,Beauty,Face Wash,North,2024-01-08,4,124,15,496,54.21
ORD00112,Kyle Gallagher,Home & Kitchen,Table Lamp,East,2024-07-05,2,905,10,1810,299.01
ORD00113,Krystal Owen,Sports,Cricket Bat,East,2024-05-21,4,976,5,3904,1098.08
ORD00114,Deanna Yates,Electronics,Headphones,South,2024-12-16,3,185,5,555,97.35
ORD00115,Amy Bond,Home & Kitchen,Cookware,East,2024-07-13,2,640,0,1280,86.22
ORD00116,Robert Colon,Beauty,Moisturizer,East,2024-07-10,1,611,10,611,99.64
ORD00117,Robin Williams,Fashion,T-Shirt,East,2025-03-29,1,490,10,490,110.13
ORD00118,Rachel Case,Home & Kitchen,Cookware,West,2025-01-19,4,280,20,1120,310.45
ORD00119,Dustin Hess,Fashion,Shoes,East,2024-07-30,3,182,20,546,76.69
ORD00120,Wesley Buckley,Fashion,T-Shirt,West,2024-09-30,4,700,20,2800,428.43
ORD00121,Jamie Bailey,Sports,Football,North,2024-03-25,4,614,0,2456,418.64
ORD00122,Katherine Hill,Sports,Yoga Mat,North,2024-12-05,1,983,0,983,212.18
ORD00123,Jennifer Castillo,Beauty,Face Wash,East,2025-04-08,3,756,5,2268,377.57
ORD00124,Drew Phelps,Home & Kitchen,Chair,East,2025-02-26,5,720,15,3600,966.6
ORD00125,Chad Mitchell,Sports,Dumbbells,North,2024-08-10,1,650,10,650,72.72
ORD00126,James Bennett,Fashion,T-Shirt,East,2025-01-28,1,594,15,594,85.79
ORD00127,Joseph Johnston,Beauty,Perfume,East,2024-05-02,1,542,10,542,72.62
ORD00128,Tiffany Wilson,Beauty,Perfume,South,2024-09-16,3,1000,5,3000,506.29
ORD00129,Jamie Garcia,Electronics,Headphones,North,2025-01-24,5,772,10,3860,882.72
ORD00130,Christina Reeves,Fashion,Shoes,South,2024-08-28,5,141,0,705,104.4
ORD00131,Amanda Russell,Home & Kitchen,Cookware,South,2025-03-27,2,492,15,984,55.01
ORD00132,Monique Lewis,Beauty,Perfume,South,2024-06-30,1,423,10,423,73.13
ORD00133,Shannon Gould,Fashion,Jeans,East,2024-11-17,1,712,15,712,171.14
ORD00134,Janice Garcia,Electronics,Smartphone,East,2024-09-05,2,305,5,610,53.71
ORD00135,Matthew Johnston,Beauty,Perfume,South,2024-06-04,3,992,0,2976,389.05
ORD00136,Joshua Callahan,Electronics,Headphones,West,2024-09-17,3,888,5,2664,340.38
ORD00137,Paul Weiss,Home & Kitchen,Mixer,South,2025-01-16,4,705,20,2820,308.98
ORD00138,Jackie Ramirez,Fashion,T-Shirt,North,2024-06-18,4,608,15,2432,209.06
ORD00139,William Salazar,Fashion,T-Shirt,North,2024-12-21,5,464,20,2320,158.07
ORD00140,Andrew Stewart,Electronics,Headphones,South,2024-06-01,4,390,0,1560,82.82
ORD00141,Kathryn Ritter,Fashion,Jeans,East,2024-09-07,4,726,0,2904,300.74
ORD00142,Joseph Hendricks,Electronics,Smartphone,South,2025-04-15,4,752,10,3008,624.06
ORD00143,Tiffany Weaver,Electronics,Laptop,South,2025-03-17,4,366,15,1464,317.61
ORD00144,Diana White,Fashion,T-Shirt,South,2024-08-02,4,242,5,968,208.91
ORD00145,Juan Smith,Sports,Cricket Bat,West,2024-07-20,5,666,20,3330,856.87
ORD00146,Alexander Parker,Beauty,Perfume,West,2024-07-25,5,634,5,3170,565.08
ORD00147,Sara Chapman,Sports,Cricket Bat,South,2024-01-17,3,141,5,423,117.56
ORD00148,Jennifer Santos,Electronics,Smartwatch,South,2025-04-14,3,120,5,360,71.66
ORD00149,James Nelson,Sports,Dumbbells,East,2025-04-18,2,879,0,1758,281.06
ORD00150,Megan Davis,Beauty,Face Wash,West,2024-04-19,3,49,20,147,23.16
ORD00151,Stephen Smith,Electronics,Laptop,West,2024-06-20,1,996,20,996,209.39
ORD00152,Alex Carrillo,Electronics,Smartwatch,East,2024-11-30,3,441,0,1323,188.38
ORD00153,Darlene Fritz,Sports,Dumbbells,North,2024-08-29,3,82,15,246,35.84
ORD00154,John Brown,Home & Kitchen,Mixer,South,2024-03-28,4,510,15,2040,117.6
ORD00155,Tracie Coleman,Beauty,Face Wash,West,2024-09-23,5,335,10,1675,277.28
ORD00156,Jeffrey Miles,Fashion,T-Shirt,South,2024-05-16,1,572,10,572,124.56
ORD00157,Heather Rojas,Beauty,Moisturizer,East,2024-07-30,5,780,5,3900,1081.72
ORD00158,Lisa White,Sports,Football,West,2024-06-16,1,263,20,263,16.46
ORD00159,Brendan Foley,Fashion,Jeans,North,2024-02-12,3,678,5,2034,509.23
ORD00160,John Reynolds,Beauty,Lipstick,East,2024-02-18,4,811,15,3244,854.37
ORD00161,Jenny Scott,Beauty,Moisturizer,West,2024-03-03,2,948,10,1896,534.53
ORD00162,Katherine Alvarez,Fashion,T-Shirt,West,2024-11-21,2,163,10,326,77.88
ORD00163,Robert Hays,Home & Kitchen,Table Lamp,North,2024-08-27,1,334,15,334,81.58
ORD00164,Katherine Richardson,Beauty,Face Wash,North,2024-08-22,1,292,10,292,57.6
ORD00165,Dwayne Jennings,Home & Kitchen,Chair,West,2025-05-02,1,228,5,228,17.81
ORD00166,Justin Weiss,Fashion,T-Shirt,North,2024-11-19,4,863,10,3452,981.52
ORD00167,Keith Moore,Beauty,Moisturizer,West,2024-08-15,1,754,0,754,71.13
ORD00168,Melody Krause,Fashion,T-Shirt,South,2025-02-04,4,420,10,1680,389.25
ORD00169,Brittney Thomas,Beauty,Moisturizer,North,2024-04-23,2,516,20,1032,241.05
ORD00170,Ronald Ellis,Home & Kitchen,Cookware,North,2024-12-18,5,582,5,2910,237.04
ORD00171,Bailey Larson,Beauty,Face Wash,West,2024-01-14,1,981,15,981,116.83
ORD00172,Hannah Brown,Electronics,Smartwatch,West,2024-02-07,3,227,0,681,46.65
ORD00173,Duane Bowman,Electronics,Laptop,North,2024-05-07,2,505,15,1010,241.32
ORD00174,Brian Figueroa,Beauty,Lipstick,East,2024-01-12,5,444,10,2220,240.05
ORD00175,Randy Barrett,Beauty,Lipstick,East,2024-12-28,4,416,10,1664,170.0
ORD00176,James Taylor,Electronics,Smartphone,East,2025-03-27,2,308,10,616,89.01
ORD00177,Gina Swanson,Beauty,Perfume,West,2024-12-22,5,48,15,240,35.34
ORD00178,Destiny Schneider,Fashion,T-Shirt,South,2025-04-20,5,954,15,4770,635.38
ORD00179,Anthony Medina MD,Home & Kitchen,Mixer,North,2024-01-06,1,474,5,474,38.89
ORD00180,Allen Lopez,Beauty,Perfume,West,2025-03-09,4,396,5,1584,400.6
ORD00181,Tanya Barber,Beauty,Perfume,South,2024-02-09,5,368,20,1840,227.45
ORD00182,Lisa Green,Fashion,Jeans,South,2025-02-08,1,222,5,222,66.58
ORD00183,Beth Wise,Beauty,Moisturizer,South,2024-04-11,1,748,0,748,197.38
ORD00184,Lisa Simpson,Home & Kitchen,Chair,West,2024-09-04,1,990,10,990,248.91
ORD00185,Melissa Stevens,Home & Kitchen,Chair,West,2024-02-25,2,577,20,1154,330.54
ORD00186,Dennis Jordan,Beauty,Face Wash,North,2024-07-14,3,226,5,678,118.91
ORD00187,Amy Colon,Fashion,Jeans,East,2025-04-01,5,850,20,4250,854.01
ORD00188,Cassandra Schultz,Sports,Yoga Mat,South,2024-02-06,2,222,15,444,83.48
ORD00189,Kelly Bullock,Beauty,Moisturizer,North,2024-10-08,1,859,10,859,51.87
ORD00190,Sara Livingston,Electronics,Headphones,South,2024-02-01,4,933,10,3732,595.08
ORD00191,Karen Pennington,Sports,Dumbbells,West,2024-11-06,4,868,10,3472,896.05
ORD00192,Michael Braun,Sports,Cricket Bat,South,2025-02-11,4,188,0,752,67.41
ORD00193,Renee Torres,Home & Kitchen,Chair,East,2024-06-19,3,866,5,2598,255.64
ORD00194,Amanda Baker,Sports,Cricket Bat,East,2024-12-13,4,475,20,1900,113.59
ORD00195,Shawn Snyder,Sports,Football,South,2024-05-03,5,372,5,1860,262.22
ORD00196,Heather Holloway,Home & Kitchen,Cookware,North,2024-06-24,4,47,15,188,32.74
ORD00197,Matthew Allison,Sports,Football,North,2024-11-18,5,91,15,455,113.17
ORD00198,Jennifer Love,Fashion,Jacket,South,2025-04-12,5,193,20,965,195.46
ORD00199,Vincent Heath,Beauty,Face Wash,North,2025-05-06,5,630,15,3150,740.31
ORD00200,Lisa Ortiz,Home & Kitchen,Mixer,West,2025-04-03,3,186,10,558,60.91
ORD00201,Luke Ruiz,Fashion,Jacket,North,2024-04-01,1,598,10,598,97.57
ORD00202,Robin Lewis,Electronics,Headphones,East,2024-01-05,1,556,5,556,102.24
ORD00203,Maurice Mooney,Fashion,T-Shirt,North,2024-12-17,2,448,15,896,159.31
ORD00204,Sherri Joseph,Electronics,Laptop,North,2024-09-30,4,513,0,2052,541.9
ORD00205,Phillip Johnson,Home & Kitchen,Table Lamp,West,2024-05-22,3,497,20,1491,340.86
ORD00206,Melissa Smith,Home & Kitchen,Cookware,East,2025-04-19,5,705,20,3525,603.38
ORD00207,Teresa Newman,Fashion,T-Shirt,West,2024-09-10,5,867,10,4335,369.1
ORD00208,Nathaniel White,Fashion,Jeans,East,2024-05-21,3,961,20,2883,528.13
ORD00209,Jeremy Russell,Beauty,Lipstick,North,2025-02-21,5,656,10,3280,607.93
ORD00210,Joshua Wood,Sports,Dumbbells,South,2024-02-08,1,871,5,871,89.94
ORD00211,Mark Williams,Home & Kitchen,Mixer,South,2025-05-10,5,698,20,3490,835.78
ORD00212,Dennis Smith,Beauty,Face Wash,South,2025-03-03,3,640,5,1920,326.95
ORD00213,Joshua Mitchell,Electronics,Headphones,North,2024-02-16,2,757,0,1514,416.0
ORD00214,Thomas Howard,Electronics,Smartwatch,South,2025-01-20,4,740,10,2960,511.99
ORD00215,Donna Wilson,Home & Kitchen,Table Lamp,West,2024-01-29,2,593,0,1186,71.53
ORD00216,Monica Miller,Sports,Football,North,2024-08-18,1,486,20,486,79.83
ORD00217,Joseph Hill,Electronics,Laptop,East,2025-04-03,3,86,5,258,73.11
ORD00218,Deborah David,Sports,Cricket Bat,West,2024-12-26,4,300,20,1200,357.54
ORD00219,Andrew Davidson,Fashion,T-Shirt,North,2024-08-02,3,413,20,1239,139.82
ORD00220,Colin Rodriguez,Sports,Football,East,2024-08-08,3,900,10,2700,775.9
ORD00221,Kathleen Owen,Electronics,Smartphone,South,2025-01-10,5,789,15,3945,391.08
ORD00222,Laura Suarez DDS,Sports,Yoga Mat,South,2024-12-26,3,942,15,2826,481.17
ORD00223,Brooke Porter,Electronics,Headphones,West,2024-03-04,2,847,10,1694,187.07
ORD00224,Carolyn Sullivan,Sports,Cricket Bat,North,2024-12-19,3,413,15,1239,166.66
ORD00225,Sharon Hill,Beauty,Lipstick,East,2024-10-07,2,916,5,1832,283.19
ORD00226,Mr. Daniel Taylor MD,Electronics,Headphones,West,2024-06-23,2,488,0,976,232.44
ORD00227,Michael Meadows,Sports,Cricket Bat,West,2024-01-17,2,885,15,1770,440.13
ORD00228,Kevin Byrd,Fashion,T-Shirt,East,2025-04-20,5,796,5,3980,373.33
ORD00229,Joshua Lin,Electronics,Headphones,North,2024-04-06,5,247,10,1235,141.31
ORD00230,Kimberly Ramirez,Fashion,Shoes,North,2024-03-07,2,281,5,562,112.35
ORD00231,Kevin Norris,Fashion,T-Shirt,South,2025-01-30,1,623,0,623,167.9
ORD00232,Kelli Santiago,Beauty,Perfume,North,2024-07-03,3,419,0,1257,138.02
ORD00233,Theresa Patterson,Home & Kitchen,Table Lamp,East,2024-04-09,3,663,0,1989,302.4
ORD00234,Erik Reed,Fashion,Jeans,West,2024-01-28,1,91,5,91,15.39
ORD00235,Doris Craig MD,Electronics,Smartphone,West,2025-03-10,2,589,15,1178,165.89
ORD00236,Autumn Hansen,Sports,Cricket Bat,South,2025-03-22,2,660,20,1320,143.33
ORD00237,Beth Petersen,Beauty,Moisturizer,North,2024-08-24,5,945,5,4725,1023.8
ORD00238,Mary Mercado,Home & Kitchen,Table Lamp,West,2025-03-27,4,812,20,3248,368.93
ORD00239,Pamela Walters,Sports,Yoga Mat,East,2024-02-16,4,94,15,376,33.97
ORD00240,Jonathan Rice,Fashion,T-Shirt,West,2024-01-08,5,381,0,1905,111.01
ORD00241,Brian Thompson,Fashion,T-Shirt,West,2024-07-20,2,214,10,428,89.66
ORD00242,Paul Faulkner,Home & Kitchen,Chair,North,2024-12-22,5,85,10,425,92.01
ORD00243,Michael Terry,Electronics,Smartphone,West,2024-05-01,2,395,5,790,86.39
ORD00244,Danielle Patterson,Electronics,Laptop,South,2025-03-26,4,800,10,3200,233.78
ORD00245,Laurie Richards,Electronics,Laptop,East,2024-09-04,5,577,20,2885,834.91
ORD00246,Eric Vasquez DVM,Fashion,T-Shirt,North,2024-11-15,1,170,20,170,31.32
ORD00247,Matthew Short,Fashion,Jacket,East,2024-04-25,3,502,0,1506,337.07
ORD00248,James Freeman,Home & Kitchen,Mixer,West,2025-04-10,3,559,20,1677,337.44
ORD00249,Joseph Castro,Beauty,Lipstick,East,2025-01-03,1,165,20,165,44.87
ORD00250,Joshua Christensen,Electronics,Headphones,East,2024-05-12,4,793,0,3172,453.92
ORD00251,Ashley Brown,Beauty,Moisturizer,South,2024-04-27,4,706,10,2824,143.8
ORD00252,Ryan Lopez,Home & Kitchen,Table Lamp,East,2024-07-18,3,132,10,396,107.98
ORD00253,Brian Fuller,Home & Kitchen,Cookware,North,2025-01-21,1,659,20,659,137.33
ORD00254,Allison Osborn,Sports,Dumbbells,East,2025-01-21,5,783,10,3915,675.95
ORD00255,Ryan Perez,Beauty,Face Wash,South,2025-03-24,4,984,20,3936,864.75
ORD00256,Sandra Parker,Home & Kitchen,Mixer,South,2024-09-20,1,429,10,429,111.77
ORD00257,Roger Wright,Beauty,Face Wash,East,2025-03-03,2,690,0,1380,205.89
ORD00258,Nicole Terrell,Electronics,Laptop,South,2024-07-14,3,348,5,1044,138.23
ORD00259,Andrew Schmidt,Fashion,Jeans,South,2024-06-17,2,41,20,82,22.75
ORD00260,Theresa Key,Beauty,Perfume,East,2024-04-12,2,116,20,232,27.61
ORD00261,Christina Cantu,Fashion,Jeans,North,2024-12-30,3,210,0,630,61.32
ORD00262,Rebecca Larson,Beauty,Moisturizer,West,2024-07-08,1,259,5,259,43.8
ORD00263,Mr. Scott Hicks Jr.,Beauty,Moisturizer,South,2024-04-10,4,152,10,608,169.57
ORD00264,Mark Bowers,Home & Kitchen,Chair,North,2024-04-03,4,743,20,2972,473.07
ORD00265,Shannon Mills,Sports,Yoga Mat,West,2024-07-22,4,635,15,2540,185.88
ORD00266,Kelsey Henderson,Electronics,Laptop,South,2025-01-13,5,72,10,360,48.68
ORD00267,Alexandria Taylor,Home & Kitchen,Table Lamp,North,2024-07-28,3,784,20,2352,376.96
ORD00268,Elijah Garner,Fashion,Jacket,South,2025-02-05,3,810,20,2430,293.96
ORD00269,Toni Williams,Electronics,Smartwatch,East,2024-02-15,4,595,15,2380,687.9
ORD00270,Nicholas Monroe,Electronics,Smartphone,East,2025-03-05,5,1000,20,5000,361.96
ORD00271,Michael Hall,Beauty,Perfume,East,2024-05-25,4,846,15,3384,698.73
ORD00272,Diana Aguirre,Fashion,Jacket,East,2024-08-22,1,821,0,821,245.43
ORD00273,Amanda Mclaughlin,Beauty,Perfume,North,2025-04-13,5,112,20,560,98.35
ORD00274,Courtney Miles,Electronics,Laptop,North,2024-07-08,1,199,5,199,49.06
ORD00275,Marie Lewis,Electronics,Laptop,West,2025-01-28,1,60,10,60,6.54
ORD00276,Gabriel Hughes,Fashion,Shoes,North,2024-01-12,3,607,5,1821,236.18
ORD00277,Jason Figueroa,Electronics,Laptop,South,2024-05-02,2,181,10,362,32.43
ORD00278,Samantha Armstrong,Fashion,Jeans,South,2024-08-07,1,413,0,413,58.18
ORD00279,Chad Snyder,Electronics,Smartphone,South,2024-02-08,2,299,5,598,50.03
ORD00280,Cody Brewer,Beauty,Lipstick,South,2024-04-26,2,552,0,1104,155.56
ORD00281,Michael Reed,Sports,Dumbbells,South,2024-06-29,5,775,15,3875,613.29
ORD00282,Richard Garcia,Fashion,Shoes,West,2024-03-01,1,980,15,980,261.76
ORD00283,Sarah Rodriguez,Fashion,Jeans,East,2025-01-21,2,978,15,1956,362.04
ORD00284,Regina Frazier,Electronics,Smartphone,West,2024-11-06,4,266,5,1064,105.81
ORD00285,Ryan Watson,Electronics,Smartphone,North,2024-03-04,4,889,5,3556,765.84
ORD00286,Raymond Love,Fashion,Jacket,South,2024-08-13,1,242,5,242,62.42
ORD00287,Hannah Smith,Fashion,Jacket,South,2025-02-26,3,256,20,768,195.61
ORD00288,Joshua Hayes,Home & Kitchen,Table Lamp,East,2024-06-15,2,541,10,1082,236.32
ORD00289,Sharon Decker,Home & Kitchen,Mixer,North,2024-12-10,4,88,15,352,58.04
ORD00290,Eric Lane,Beauty,Moisturizer,West,2024-07-26,1,376,5,376,56.26
ORD00291,Jacqueline Obrien,Beauty,Perfume,South,2024-06-08,3,849,0,2547,442.46
ORD00292,Natalie Jenkins,Electronics,Smartphone,South,2025-01-19,2,709,20,1418,99.5
ORD00293,Ashley Travis,Electronics,Headphones,North,2025-04-30,5,50,0,250,61.8
